year,month,지표 코드,지표명,지표 순위값,지역명
2024,12,1,방문자유입,61,연수구
2024,12,2,숙박방문자 비율,74,연수구
2024,12,3,체류시간,116,연수구
2024,12,4,목적지 검색량,11,연수구
2024,12,5,관광소비,35,연수구
2024,12,1,방문자유입,56,시흥시
2024,12,2,숙박방문자 비율,50,시흥시
2024,12,3,체류시간,104,시흥시
2024,12,4,목적지 검색량,26,시흥시
2024,12,5,관광소비,28,시흥시
2024,12,1,방문자유입,67,파주시
2024,12,2,숙박방문자 비율,49,파주시
2024,12,3,체류시간,66,파주시
2024,12,4,목적지 검색량,6,파주시
2024,12,5,관광소비,32,파주시
2024,12,1,방문자유입,58,김포시
2024,12,2,숙박방문자 비율,60,김포시
2024,12,3,체류시간,85,김포시
2024,12,4,목적지 검색량,19,김포시
2024,12,5,관광소비,22,김포시
