year,month,순위,광역지자체명,기초지자체명,관광지명,입장객수,입장객 수 총계
2024,4,1,경기도,파주시,임진각관광지,185151,185151.0
2024,4,2,경기도,파주시,통일전망대,38801,38801.0
2024,4,3,경기도,파주시,헤이리예술마을,33500,33500.0
2024,4,4,경기도,파주시,벽초지수목원,32495,32495.0
2024,4,5,경기도,파주시,퍼스트가든,28923,28923.0
2024,4,6,경기도,파주시,공릉관광지(하니랜드),18882,18882.0
2024,4,7,경기도,파주시,서서울컨트리클럽,12717,12717.0
2024,4,8,경기도,파주시,제3땅굴,10975,10975.0
2024,4,9,경기도,파주시,경기미래교육 파주캠퍼스,9404,9404.0
2024,4,10,경기도,파주시,임진각평화누리캠핑장,9350,9350.0
2024,4,11,경기도,파주시,파주놀이구름,8921,8921.0
2024,4,12,경기도,파주시,서원밸리골프클럽,8377,8377.0
2024,4,13,경기도,파주시,베스트밸리,6506,6506.0
2024,4,14,경기도,파주시,파주삼릉,5292,5292.0
2024,4,15,경기도,파주시,황희선생유적지,5223,5223.0
2024,4,16,경기도,파주시,우농타조농장,3950,3950.0
2024,4,17,경기도,파주시,율곡선생유적지,3594,3594.0
2024,4,18,경기도,파주시,황포돛배,2527,2527.0
2024,4,19,경기도,파주시,파주장릉,2329,2329.0
2024,4,20,경기도,파주시,동화힐링캠핑장,1628,1628.0
2024,4,21,경기도,파주시,파주임실치즈스쿨,1325,1325.0
2024,4,22,경기도,파주시,산머루농원,811,811.0
2024,4,23,경기도,파주시,쇠꼴마을,682,682.0
2024,4,24,경기도,파주시,콩세유미술관,596,596.0
2024,4,25,경기도,파주시,아트린뮤지움,467,467.0
2024,4,26,경기도,파주시,두루뫼박물관,97,97.0
2024,4,27,경기도,파주시,영집궁시박물관,95,95.0
