year,month,유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
2025,2,기타관광,교통시설,9.2,46.9
2025,2,기타관광,기타관광,9.2,53.1
2025,2,레저스포츠,기타레저스포츠,4.1,7.9
2025,2,레저스포츠,수상레저스포츠,4.1,4.3
2025,2,레저스포츠,육상레저스포츠,4.1,87.8
2025,2,문화관광,기타문화관광지,9.9,4.1
2025,2,문화관광,도시/지역문화관광,9.9,0.0
2025,2,문화관광,도시공원,9.9,25.9
2025,2,문화관광,랜드마크관광,9.9,8.6
2025,2,문화관광,복합관광시설,9.9,0.0
2025,2,문화관광,테마공원,9.9,27.0
2025,2,문화관광,레저스포츠시설,9.9,1.4
2025,2,문화관광,공연시설,9.9,19.2
2025,2,문화관광,전시시설,9.9,13.8
2025,2,쇼핑,쇼핑몰,16.5,92.9
2025,2,쇼핑,시장,16.5,6.0
2025,2,쇼핑,기타쇼핑시설,16.5,1.2
2025,2,숙박,기타숙박,3.8,0.1
2025,2,숙박,모텔,3.8,29.2
2025,2,숙박,펜션/민박,3.8,12.3
2025,2,숙박,호스텔,3.8,5.0
2025,2,숙박,호텔,3.8,30.3
2025,2,숙박,캠핑,3.8,23.1
2025,2,역사관광,역사유물,1.3,0.1
2025,2,역사관광,역사유적지,1.3,22.7
2025,2,역사관광,종교성지,1.3,77.2
2025,2,음식,간이음식,54.4,9.7
2025,2,음식,외국식,54.4,8.3
2025,2,음식,음식점기타,54.4,0.1
2025,2,음식,전문음식,54.4,18.9
2025,2,음식,한식,54.4,33.3
2025,2,음식,카페/찻집,54.4,29.8
2025,2,자연관광,자연경관(산),0.3,40.0
2025,2,자연관광,자연경관(하천/해양),0.3,59.6
2025,2,자연관광,자연공원,0.3,0.4
2025,2,체험관광,농/산/어촌체험,0.4,49.4
2025,2,체험관광,웰니스관광,0.4,45.1
2025,2,체험관광,공예체험,0.4,5.5
