행정동,연간소비금액(백만원),소비규모순위,전체비중(%),누적비중(%),소비규모군
운정3동,715.2272394,1,16.81,16.81,최상위
탄현면,458.2166679,2,10.77,27.58,최상위
교하동,456.004025,3,10.71,38.29,최상위
운정1동,394.8372672,4,9.28,47.57,최상위
문산읍,375.1840377,5,8.82,56.39,최상위
금촌1동,289.3296235,6,6.8,63.19,상위
운정2동,277.7483127,7,6.53,69.72,상위
운정5동,202.7369774,8,4.76,74.48,상위
광탄면,196.0309087,9,4.61,79.09,상위
금촌2동,180.2633213,10,4.24,83.33,상위
운정4동,159.8234896,11,3.76,87.09,중위
조리읍,125.6290038,12,2.95,90.04,중위
월롱면,74.65466857,13,1.75,91.79,중위
적성면,69.37587393,14,1.63,93.42,중위
금촌3동,66.73642697,15,1.57,94.99,중위
파주읍,64.19875767,16,1.51,96.5,하위
법원읍,62.7755602,17,1.48,97.98,하위
운정6동,53.67498433,18,1.26,99.24,하위
파평면,28.8790038,19,0.68,99.92,하위
장단면,4.587918533,20,0.11,100.03,하위
