기준년도,2022
전국 소비 지출액(A),1.0852692E15
전국 카드 지출액 대비 지역주민의 카드 소비액 비율(B),1.0376065308423845
지역 외 소비액 비율,47.903263991681726
지역 내 소비 비율(F),52.09673600831827
지역주민의 총소비 지출액(C = A X B),1.155811698E15
지역주민의 지역 내 소비액(D = C X F),6.02177894658E16
주민등록 인구 수(E),495315
주민 1인당 지역 내 소비액(G = D / E),1.2157473419096938E11
1회 평균 숙박 관광객 소비액(H),111000
1회 평균 당일 관광객 소비액(I),57000
① 숙박 관광객(G / H),110.0
② 당일 관광객(G / I),213.0
③ 숙박/당일 여행횟수 비율 적용 관광객 숙박,19.0
③ 숙박/당일 여행횟수 비율 적용 관광객 당일,177.0
③ 숙박/당일 여행횟수 비율 적용 관광객 숙박 비율,16.77
③ 숙박/당일 여행횟수 비율 적용 관광객 당일 비율,83.23
주간 인구 수,441565

