기준년월,기초지자체,중분류,소비액(천원)
202310,파주시,관광총소비,3407982.0
202311,파주시,관광총소비,2539734.0
202312,파주시,관광총소비,2339257.0
202401,파주시,관광총소비,1734426.0
202402,파주시,관광총소비,1622975.0
202403,파주시,관광총소비,2481481.0
202404,파주시,관광총소비,3068701.0
202405,파주시,관광총소비,2988405.0
202406,파주시,관광총소비,2857299.0
202407,파주시,관광총소비,2497992.0
202408,파주시,관광총소비,2514753.0
202409,파주시,관광총소비,2706787.0
202310,파주시,호텔,27864.0
202310,파주시,캠핑장/펜션,40.0
202310,파주시,기타숙박,79955.0
202310,파주시,여행업,1598.0
202310,파주시,육상운송,16766.0
202310,파주시,렌터카,150.0
202310,파주시,대형쇼핑몰,2091612.0
202310,파주시,레저용품쇼핑,7960.0
202310,파주시,기타관광쇼핑,493968.0
202310,파주시,관광유원시설,2365.0
202310,파주시,골프장,80339.0
202310,파주시,기타레저,44219.0
202310,파주시,문화서비스,8607.0
202310,파주시,의료관광,38723.0
202310,파주시,뷰티,150925.0
202310,파주시,일반외식업,302805.0
202310,파주시,제과음료업,60089.0
202311,파주시,호텔,5983.0
202311,파주시,캠핑장/펜션,1225.0
202311,파주시,기타숙박,45213.0
202311,파주시,육상운송,16455.0
202311,파주시,렌터카,100.0
202311,파주시,대형쇼핑몰,1560596.0
202311,파주시,레저용품쇼핑,29186.0
202311,파주시,기타관광쇼핑,462913.0
202311,파주시,관광유원시설,1008.0
202311,파주시,골프장,30439.0
202311,파주시,기타레저,27313.0
202311,파주시,문화서비스,5244.0
202311,파주시,의료관광,28361.0
202311,파주시,뷰티,61136.0
202311,파주시,일반외식업,224044.0
202311,파주시,제과음료업,40519.0
202312,파주시,호텔,9977.0
202312,파주시,캠핑장/펜션,110.0
202312,파주시,기타숙박,42236.0
202312,파주시,육상운송,12073.0
202312,파주시,렌터카,248.0
202312,파주시,대형쇼핑몰,1638105.0
202312,파주시,레저용품쇼핑,7821.0
202312,파주시,기타관광쇼핑,333705.0
202312,파주시,관광유원시설,1706.0
202312,파주시,골프장,6626.0
202312,파주시,기타레저,25554.0
202312,파주시,문화서비스,2932.0
202312,파주시,의료관광,36846.0
202312,파주시,뷰티,15839.0
202312,파주시,일반외식업,172882.0
202312,파주시,제과음료업,32599.0
202401,파주시,호텔,1374.0
202401,파주시,캠핑장/펜션,733.0
202401,파주시,기타숙박,17435.0
202401,파주시,육상운송,10381.0
202401,파주시,렌터카,94.0
202401,파주시,대형쇼핑몰,1191267.0
202401,파주시,레저용품쇼핑,6558.0
202401,파주시,기타관광쇼핑,255227.0
202401,파주시,관광유원시설,714.0
202401,파주시,골프장,2566.0
202401,파주시,기타레저,16132.0
202401,파주시,문화서비스,7062.0
202401,파주시,의료관광,16641.0
202401,파주시,뷰티,29371.0
202401,파주시,일반외식업,149848.0
202401,파주시,제과음료업,29023.0
202402,파주시,호텔,4560.0
202402,파주시,기타숙박,29735.0
202402,파주시,육상운송,10334.0
202402,파주시,대형쇼핑몰,1076972.0
202402,파주시,레저용품쇼핑,4568.0
202402,파주시,기타관광쇼핑,250350.0
202402,파주시,관광유원시설,619.0
202402,파주시,골프장,8906.0
202402,파주시,기타레저,16403.0
202402,파주시,문화서비스,1899.0
202402,파주시,의료관광,17576.0
202402,파주시,뷰티,25979.0
202402,파주시,일반외식업,126825.0
202402,파주시,제과음료업,48248.0
202403,파주시,호텔,9163.0
202403,파주시,캠핑장/펜션,1794.0
202403,파주시,기타숙박,37324.0
202403,파주시,육상운송,14223.0
202403,파주시,렌터카,82.0
202403,파주시,대형쇼핑몰,1377634.0
202403,파주시,레저용품쇼핑,12462.0
202403,파주시,기타관광쇼핑,617588.0
202403,파주시,관광유원시설,1936.0
202403,파주시,골프장,31299.0
202403,파주시,기타레저,49675.0
202403,파주시,문화서비스,3467.0
202403,파주시,의료관광,13846.0
202403,파주시,뷰티,24867.0
202403,파주시,일반외식업,216516.0
202403,파주시,제과음료업,69606.0
202404,파주시,호텔,12853.0
202404,파주시,캠핑장/펜션,270.0
202404,파주시,기타숙박,72534.0
202404,파주시,여행업,18.0
202404,파주시,육상운송,10010.0
202404,파주시,렌터카,294.0
202404,파주시,대형쇼핑몰,1645170.0
202404,파주시,레저용품쇼핑,10897.0
202404,파주시,기타관광쇼핑,790693.0
202404,파주시,관광유원시설,951.0
202404,파주시,골프장,43805.0
202404,파주시,기타레저,56008.0
202404,파주시,문화서비스,1698.0
202404,파주시,의료관광,29071.0
202404,파주시,뷰티,31381.0
202404,파주시,일반외식업,306076.0
202404,파주시,제과음료업,56973.0
202405,파주시,호텔,8220.0
202405,파주시,기타숙박,96697.0
202405,파주시,육상운송,37127.0
202405,파주시,대형쇼핑몰,1555560.0
202405,파주시,레저용품쇼핑,14992.0
202405,파주시,기타관광쇼핑,742591.0
202405,파주시,관광유원시설,1604.0
202405,파주시,골프장,42700.0
202405,파주시,기타레저,49825.0
202405,파주시,문화서비스,3154.0
202405,파주시,의료관광,53817.0
202405,파주시,뷰티,19486.0
202405,파주시,일반외식업,297153.0
202405,파주시,제과음료업,65479.0
202406,파주시,호텔,8838.0
202406,파주시,캠핑장/펜션,40.0
202406,파주시,기타숙박,103856.0
202406,파주시,여행업,7910.0
202406,파주시,육상운송,23805.0
202406,파주시,렌터카,291.0
202406,파주시,대형쇼핑몰,1385646.0
202406,파주시,레저용품쇼핑,8096.0
202406,파주시,기타관광쇼핑,742537.0
202406,파주시,관광유원시설,3734.0
202406,파주시,골프장,54019.0
202406,파주시,기타레저,50921.0
202406,파주시,문화서비스,4410.0
202406,파주시,의료관광,48406.0
202406,파주시,뷰티,23953.0
202406,파주시,일반외식업,333276.0
202406,파주시,제과음료업,57561.0
202407,파주시,호텔,4720.0
202407,파주시,캠핑장/펜션,1514.0
202407,파주시,기타숙박,122891.0
202407,파주시,육상운송,22522.0
202407,파주시,렌터카,772.0
202407,파주시,대형쇼핑몰,1298508.0
202407,파주시,레저용품쇼핑,11612.0
202407,파주시,기타관광쇼핑,547971.0
202407,파주시,관광유원시설,2794.0
202407,파주시,골프장,39009.0
202407,파주시,기타레저,42950.0
202407,파주시,문화서비스,2052.0
202407,파주시,의료관광,39770.0
202407,파주시,뷰티,29342.0
202407,파주시,일반외식업,265348.0
202407,파주시,제과음료업,66219.0
202408,파주시,호텔,7851.0
202408,파주시,캠핑장/펜션,30.0
202408,파주시,기타숙박,112937.0
202408,파주시,여행업,44.0
202408,파주시,육상운송,27196.0
202408,파주시,렌터카,600.0
202408,파주시,대형쇼핑몰,1227679.0
202408,파주시,레저용품쇼핑,10645.0
202408,파주시,기타관광쇼핑,600434.0
202408,파주시,관광유원시설,1259.0
202408,파주시,골프장,51201.0
202408,파주시,기타레저,49089.0
202408,파주시,문화서비스,1947.0
202408,파주시,의료관광,24394.0
202408,파주시,뷰티,12355.0
202408,파주시,일반외식업,288733.0
202408,파주시,제과음료업,98361.0
202409,파주시,호텔,17370.0
202409,파주시,캠핑장/펜션,1370.0
202409,파주시,기타숙박,76487.0
202409,파주시,여행업,34.0
202409,파주시,육상운송,19985.0
202409,파주시,렌터카,1072.0
202409,파주시,대형쇼핑몰,1259761.0
202409,파주시,레저용품쇼핑,9830.0
202409,파주시,기타관광쇼핑,755387.0
202409,파주시,관광유원시설,1517.0
202409,파주시,골프장,46008.0
202409,파주시,기타레저,43210.0
202409,파주시,문화서비스,1315.0
202409,파주시,의료관광,55884.0
202409,파주시,뷰티,21254.0
202409,파주시,일반외식업,317622.0
202409,파주시,제과음료업,78682.0
202312,파주시,여행업,0.0
202402,파주시,여행업,0.0
202405,파주시,캠핑장/펜션,0.0
202405,파주시,여행업,0.0
202407,파주시,여행업,0.0
